Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2019130119-09131,MONMOUTH,ALLENHURST BORO,04/05/2019,FR,1028,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.79,02,,01,04,02,02,01,05,05,01,,AT,,CORLIES AVE,,,,35,25,26,40.236162,74.000562,N,,119
2019130119-12956,MONMOUTH,ALLENHURST BORO,05/19/2019,SU,1651,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,12,1,BATH AVE / OCEAN AVE / SEA VIEW AVE,,,,13011310__,.06,07,,01,04,02,01,01,01,05,01,,AT,,SPIER AVE,,,,25,25,24,40.236712,73.998205,N,,109
2019130119-16081,MONMOUTH,ALLENHURST BORO,06/17/2019,MO,1728,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,ATLANTIC AVE / MAIN ST / MONMOUTH DR,,,,13031089__,.33,07,,01,04,02,01,01,01,05,01,115,FE,S,CORLIES AVE,,,,25,25,,,,N,GLASS FRONT DOOR AND CRACKED BRICKS THAT SUPPORTED THE DOOR FRAME,524
2019130119-17011,MONMOUTH,ALLENHURST BORO,06/25/2019,TU,1350,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,NJ 71,N,71,,00000071__,9.85,02,,01,04,02,01,01,01,05,02,15,FE,N,SPIER AVE,,,,35,25,60,,,N,,114
2019130119-18384,MONMOUTH,ALLENHURST BORO,07/04/2019,TH,1954,01,ALLENHURST PD,,0,0,0,0,P,I,Y,N,03,2,NJ 71,,71,,00000071__,9.93,02,,01,04,02,01,01,01,05,01,,AT,,CEDAR AVE,,,,35,25,26,40.238080,74.000951,N,,118
2019130119-19272,MONMOUTH,ALLENHURST BORO,07/11/2019,TH,0924,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,W,,,13031089__,.13,07,,01,04,02,01,01,01,05,01,15,FE,S,HUME ST,,,,25,25,28,40.233836,74.007296,N,,116
2019130119-19561,MONMOUTH,ALLENHURST BORO,07/13/2019,SA,1702,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ALLEN AVE **,,,,13011005__,.05,07,,01,04,02,01,01,01,05,01,20,FE,E,OCEAN PL,,,,25,25,26,40.234532,73.996636,N,,524
2019130119-19576,MONMOUTH,ALLENHURST BORO,07/13/2019,SA,2046,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ALLEN AVE **,,,,13011005__,.05,07,,01,04,02,01,03,01,05,01,20,FE,E,OCEAN PL,,,,25,25,26,40.234536,73.996674,N,,524
2019130119-19696,MONMOUTH,ALLENHURST BORO,07/14/2019,SU,1339,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,02,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,,,,13031089__,.29,07,,01,04,02,01,01,01,05,01,40,FE,N,ALLEN AVE,,,,25,25,26,40.235971,74.006517,N,,114
2019130119-19902,MONMOUTH,ALLENHURST BORO,07/15/2019,MO,2212,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,MONMOUTH COUNTY 31,W,31,,13000031__,.83,07,,01,04,02,01,06,01,05,01,,AT,,LAKE DR,,,,25,25,26,,,N,,120
