Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2020130120-02466,MONMOUTH,ALLENHURST BORO,01/24/2020,FR,1952,01,ALLENHURST PD,,0,0,0,0,P,R,N,N,11,1,MONMOUTH COUNTY 31,,31,,13000031__,.85,07,,01,04,02,01,06,01,05,01,30,FE,S,RAILROAD PLZ,,,,25,25,69,,,N,,116
2020130120-02768,MONMOUTH,ALLENHURST BORO,01/27/2020,MO,1425,01,ALLENHURST PD,,0,2,0,0,I,I,N,N,03,2,NJ 71,S,71,,00000071__,9.72,02,,01,04,02,01,01,01,05,,,AT,,ALLEN AVE,,,,35,25,26,,,N,,109
2020130120-06066,MONMOUTH,ALLENHURST BORO,03/01/2020,SU,1709,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,ELBERON AVE **,E,,,13011004__,.15,07,,01,04,02,01,01,01,05,01,150,FE,E,PAGE AVE,,,,25,25,,,,N,,114
2020130120-06070,MONMOUTH,ALLENHURST BORO,03/01/2020,SU,1753,01,ALLENHURST PD,,0,5,0,0,I,I,N,N,03,2,NJ 71,W,71,,00000071__,9.72,02,,01,04,02,01,01,01,05,01,,AT,,ALLEN AVE,,,,25,35,26,,,N,DAMAGE TO LANDSCAPING ON THE PROPERTY OF 204 ALLEN AVENUE.,109
2020130120-09161,MONMOUTH,ALLENHURST BORO,04/09/2020,TH,1606,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,SPIER AVE **,,,,13011013__,.65,07,,01,04,02,01,01,01,05,01,75,FE,W,OCEAN PL,,,,25,25,28,,,N,,120
2020130120-09421,MONMOUTH,ALLENHURST BORO,04/13/2020,MO,1356,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,E,71,,00000071__,9.79,02,,01,04,02,02,01,02,05,01,,AT,,CORLIES AVE,,,,25,25,26,,,N,,108
2020130120-10218,MONMOUTH,ALLENHURST BORO,04/27/2020,MO,0710,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,SPIER AVE **,E,,,13011013__,.50,07,,01,04,02,02,01,05,05,01,,AT,,OCEAN AVE,,,,25,25,26,,,N,,119
2020130120-12193,MONMOUTH,ALLENHURST BORO,05/27/2020,WE,1219,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,,,,13031089__,.33,07,,01,04,02,01,01,01,05,01,100,FE,S,CORLIES AVE,,,,25,25,26,,,N,,116
2020130120-13664,MONMOUTH,ALLENHURST BORO,06/10/2020,WE,1752,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,2,SPIER AVE **,E,,,13011013__,.50,07,,01,04,02,01,01,01,05,01,,AT,,OCEAN AVE,,,,25,25,26,,,N,,119
2020130120-13906,MONMOUTH,ALLENHURST BORO,06/12/2020,FR,1610,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,3,NJ 71,,71,,00000071__,9.79,02,,03,04,02,01,01,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,
